#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Feb 15 11:51:17 EST 2020,60,60,Assignment2Suite,ContainsTest0+ ContainsTest1+ EmptyTest0+ FindMinMaxTest1+ FindMinMaxTest2+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0+ InsertTest1+ InsertTest2+ RemoveTest0+ RemoveTest1+ RemoveTest2+ RemoveTest3+ SizeTest0+ , ,EmptyTest1- FindMinMaxTest0- HeightTest- InsertAfterRemoveTest0- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest1- SizeTest2- , ,
1,Sat Feb 15 11:51:41 EST 2020,60,0,InsertAfterRemoveTestSuite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0 HeightTest InsertAfterRemoveTest0 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
2,Sat Feb 15 11:56:01 EST 2020,60,0,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0 HeightTest InsertAfterRemoveTest0 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
3,Sat Feb 15 11:59:43 EST 2020,60,0,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0 HeightTest InsertAfterRemoveTest0 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
4,Sat Feb 15 12:01:03 EST 2020,64,4,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0+ InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0 HeightTest RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
5,Sat Feb 15 12:04:01 EST 2020,64,0,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0 HeightTest RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1 SizeTest2 , ,
6,Sat Feb 15 12:05:56 EST 2020,68,4,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest0+ FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1+ , ,EmptyTest1 HeightTest InsertAfterRemoveTest0- RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
7,Sat Feb 15 12:07:06 EST 2020,68,0,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1 , ,EmptyTest1 HeightTest InsertAfterRemoveTest0 RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
8,Sat Feb 15 12:07:46 EST 2020,64,-4,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest0+ InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 , ,EmptyTest1 FindMinMaxTest0- HeightTest RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest1- SizeTest2 , ,
9,Sat Feb 15 12:09:05 EST 2020,68,4,Assignment2Suite,ContainsTest0 ContainsTest1 EmptyTest0 FindMinMaxTest0+ FindMinMaxTest1 FindMinMaxTest2 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 RemoveTest0 RemoveTest1 RemoveTest2 RemoveTest3 SizeTest0 SizeTest1+ , ,EmptyTest1 HeightTest InsertAfterRemoveTest0- RemoveTest4 RemoveTest5 RemoveTest6 RemoveTest7 SizeTest2 , ,
